URI,Name,Type
http://dbpedia.org/resource/Food_and_Agriculture_Organization,Food and Agriculture Organization,Academia-ScientificOrganisation
http://www.telegraphis.net,Veronica Eikov,PrivateIndividual(s)
http://data.archiveshub.ac.uk,LOCAH Linked Archives Hub project,Academia-ScientificOrganisation
http://semanticweb.cs.vu.nl,Semantic Web research at the VU,Academia-ScientificOrganisation
http://www.ldodds.com#me,Leigh Dodds,PrivateIndividual(s)
http://poderopedia.com,Poderopedia,Academia-ScientificOrganisation
http://topquadrant.com,TopQuadrant,Company
http://linkedmodel.org,Linked Models,Academia-ScientificOrganisation
http://www.ebusiness-unibw.org,E-Business + Web Science Research Group,Academia-ScientificOrganisation
http://mhausenblas.info,Michael Hausenblas,PrivateIndividual(s)
http://dbpedia.org/resource/GeoNames,GeoNames,Academia-ScientificOrganisation
http://usefulinc.com,http://eddology.com/ - edd dumbill,PrivateIndividual(s)
http://www.pipian.com/people/pipian/card#me,John doe,PrivateIndividual(s)
http://www.facebook.com,Facebook,Company
http://www.lirmm.fr,Laboratoire d'Informatique de robotique et de Microélectronique de Montpellier,Academia-ScientificOrganisation
http://www.ordnancesurvey.co.uk,Ordnance Survey,NationalAuthority
http://vocab.org,Ian Davis,PrivateIndividual(s)
http://linkedgeodata.org,Agile Knowledge Engineering and Semantic Web ,Academia-ScientificOrganisation
http://kmm.lboro.ac.uk,Knowledge Management for Manufacturing,Academia-ScientificOrganisation
http://purl.org/dc/aboutdcmi#DCMI,Dublin Core Metadata Initiative,NonProfitOrganisation
http://viaf.org,OCLC Online Computer Library Center,Academia-ScientificOrganisation
http://www.aktors.org,AKT - Advanced Knowledge technologies,Academia-ScientificOrganisation
http://dbpedia.org/resource/Creative_Commons,Creative Commons,Academia-ScientificOrganisation
http://purl.obolibrary.org/obo/obi,Ontology for Biomedical Investigations,IndustryConsortium
http://uri.gbv.de,uri.gbv.de,NationalAuthority
http://observedchange.com,Observed Change,Academia-ScientificOrganisation
http://purl.org/NET/iand,Ian Davis,PrivateIndividual(s)
http://dbpedia.org/resource/German_National_Library_of_Economics,German National Library of Economics,Academia-ScientificOrganisation
http://dbpedia.org/resource/Federal_government_of_the_United_States,Federal government of the United States,Academia-ScientificOrganisation
http://ndl.go.jp,National Diet Library,NationalAuthority
http://data.gov.uk,"Data.gov.uk - Opening up Government
HM - Government",NationalAuthority
http://spinrdf.org,SPARQL Inferncing Notation,StandardisationBody
http://aeshin.org,Ryan Shaw,PrivateIndividual(s)
http://geovocab.org,GeoVocab.org,Academia-ScientificOrganisation
http://www.naa.gov.au,National Archives of Australia,NationalAuthority
http://www.essepuntato.it,Silvio Peroni,PrivateIndividual(s)
http://www.fundacionctic.org,Fundacíon CTIC,Academia-ScientificOrganisation
http://smiy.sourceforge.net,Bob Ferris,PrivateIndividual(s)
http://rdf.myexperiment.org,myExperiment,Academia-ScientificOrganisation
https://www.bergnet.org/people/bergi/card#me,Thomas Bergwinkl,PrivateIndividual(s)
http://www.sti2.org,Sti international,Academia-ScientificOrganisation
http://www.ontologydesignpatterns.org,Ontology Design Patterns . Org,Academia-ScientificOrganisation
http://kmi.open.ac.uk,Knowledge Media Institute,Academia-ScientificOrganisation
https://code.google.com/p/publishing-statistical-data,Publishing Statistical Linked Data workshop,Academia-ScientificOrganisation
http://www.amberdown.net/rdf/foaf.rdf#der,Dave Reynold,PrivateIndividual(s)
http://dbpedia.org/page/Open_Archives_Initiative,Open Archives Initiative,Academia-ScientificOrganisation
http://apassant.net/foaf.rdf,Alexandre Passant,PrivateIndividual(s)
http://www2.informatik.hu-berlin.de/~hartig,Olaf Hartig,PrivateIndividual(s)
http://dbpedia.org/resource/Library_of_Congress,Library of Congress,Academia-ScientificOrganisation
http://dbpedia.org/resource/Mondeca,Mondeca,Academia-ScientificOrganisation
http://www.simmons.edu/gslis,Simmons Graduate School of library and Information Science,Academia-ScientificOrganisation
http://www.deri.org,Deri - Digital Enterprise Research Institute,IndustryConsortium
http://users.ox.ac.uk/~zool0770,Jun Zhao,PrivateIndividual(s)
http://www.lingvoj.org,lingvoj.org,Academia-ScientificOrganisation
http://www.talis.com,Talis group,Company
http://www.bbc.co.uk,BBC,SupraNationalAuthority
http://dbpedia.org/resource/Italian_Chamber_of_Deputies,Italian Chamber of Deputies,Academia-ScientificOrganisation
